unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652454514543,/expr/MyHome/News,1,30,1.0,30,1.0,0,0,0.0
1652454540060,/expr/MyHome/News,1,61,1.0,61,1.0,0,0,0.0
1652454552659,/expr/MyHome/News,1,61,1.0,61,1.0,0,0,0.0
1652454720150,/expr/MyHome/News,2,272,0.5,181,0.5,3,2,93.25915268859194
1652454769659,/expr/MyHome/News,1,121,1.0,121,1.0,0,0,0.0
1652454791372,/expr/MyHome/News,1,151,1.0,151,1.0,0,0,0.0
1652454812552,/expr/MyHome/News,1,92,1.0,92,1.0,0,0,0.0
1652454857882,/expr/MyHome/News,1,90,1.0,90,1.0,0,0,0.0
