unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652450377640,/expr/MyLearning/Booking/SelectSpace,2,724,1.0,120,1.0,0,1,163.19774209494915
1652450401761,/expr/MyLearning/Booking/SelectSpace,1,241,0.5,241,1.0,1,0,281.77748339776826
1652450420684,/expr/MyLearning/Booking/SelectSpace,2,332,0.6666666666666666,302,0.5,2,1,315.9874635651456
1652450449168,/expr/MyLearning/Booking/SelectSpace,2,332,0.5,241,1.0,1,0,379.3451740373244
1652450497282,/expr/MyLearning/Booking/SelectSpace,4,1359,0.8,30,1.0,3,0,300.4364957741019
