unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652456596693,/expr/MyHome/News,1,211,1.0,211,1.0,0,0,0.0
1652456620049,/expr/MyHome/News,1,242,1.0,242,1.0,0,0,0.0
1652456631195,/expr/MyHome/News,1,60,0.5,60,0.5,1,1,102.1762493158202
1652456642489,/expr/MyHome/News,1,346,1.0,346,1.0,0,0,0.0
1652456778202,/expr/MyHome/News,1,29,1.0,29,1.0,0,0,0.0
1652456794501,/expr/MyHome/News,1,272,0.5,272,0.5,1,1,110.14967500550168
1652456808054,/expr/MyHome/News,1,30,1.0,30,1.0,0,0,0.0
1652456861951,/expr/MyHome/News,1,151,1.0,151,1.0,0,0,0.0
1652456873214,/expr/MyHome/News,1,31,1.0,31,1.0,0,0,0.0
