unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652188434840,/expr/MyLearning/Booking/SelectDate,16,14868,1.0,61,1.0,12,3,512.9854139240127
1652188747242,/expr/MyLearning/Booking/SelectDate,17,18908,0.7391304347826086,906,0.8,18,10,533.1722334665072
1652189032230,/expr/MyLearning/Booking/SelectDate,5,13503,0.7142857142857143,4863,0.8,3,4,392.5474811426643
1652189156512,/expr/MyLearning/Booking/SelectDate,5,20664,1.0,272,1.0,1,3,384.3129031532097
1652189476968,/expr/MyLearning/Booking/SelectDate,5,16038,0.7142857142857143,3775,0.8,3,5,392.0097288912516
1652189595890,/expr/MyLearning/Booking/SelectDate,8,16490,1.0,176,1.0,4,3,388.81694985311987
